BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS,102,"200,000","1,100,603","1,095,000","2,350,000"
4,RIDGEWOOD,03 THREE FAMILY DWELLINGS,32,"250,000","1,258,391","1,225,000","2,575,000"
4,ROCKAWAY PARK,01 ONE FAMILY DWELLINGS,12,"500,000","824,667","849,500","1,260,000"
4,ROCKAWAY PARK,02 TWO FAMILY DWELLINGS,21,"275,000","998,333","840,000","4,500,000"
4,ROCKAWAY PARK,03 THREE FAMILY DWELLINGS,3,"630,000","829,500","908,500","950,000"
4,ROSEDALE,01 ONE FAMILY DWELLINGS,124,"200,000","644,633","620,000","1,300,000"
4,ROSEDALE,02 TWO FAMILY DWELLINGS,97,"250,000","843,302","866,168","1,258,000"
4,ROSEDALE,03 THREE FAMILY DWELLINGS,11,"382,950","903,541","850,000","1,250,000"
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,223,"235,000","584,631","580,000","1,360,000"
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,100,"200,000","761,424","755,000","1,260,000"
4,SO. JAMAICA-BAISLEY PARK,03 THREE FAMILY DWELLINGS,1,"550,000","550,000","550,000","550,000"
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,118,"212,000","573,821","590,000","925,000"
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS,99,"250,000","762,773","780,000","1,200,000"
4,SOUTH JAMAICA,03 THREE FAMILY DWELLINGS,14,"202,800","773,464","885,000","1,150,000"
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,163,"225,000","653,423","639,000","2,300,000"
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,102,"400,000","848,425","826,500","1,400,000"
4,SOUTH OZONE PARK,03 THREE FAMILY DWELLINGS,5,"810,000","953,920","935,000","1,130,000"
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,201,"200,000","616,412","600,000","1,290,000"
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,101,"225,000","818,832","835,000","1,270,000"
4,SPRINGFIELD GARDENS,03 THREE FAMILY DWELLINGS,2,"304,200","746,600","746,600","1,189,000"
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,265,"250,000","635,420","630,000","1,250,000"
4,ST. ALBANS,02 TWO FAMILY DWELLINGS,86,"265,000","749,394","721,250","1,250,000"
4,ST. ALBANS,03 THREE FAMILY DWELLINGS,4,"228,000","630,750","692,500","910,000"
4,SUNNYSIDE,01 ONE FAMILY DWELLINGS,10,"780,000","1,227,400","1,282,000","1,560,000"
4,SUNNYSIDE,02 TWO FAMILY DWELLINGS,32,"450,000","1,402,531","1,300,000","3,900,000"
4,SUNNYSIDE,03 THREE FAMILY DWELLINGS,3,"1,200,000","1,391,667","1,475,000","1,500,000"
4,WHITESTONE,01 ONE FAMILY DWELLINGS,168,"202,800","1,198,049","1,045,000","4,000,000"
4,WHITESTONE,02 TWO FAMILY DWELLINGS,59,"625,000","1,418,824","1,299,000","6,000,000"
4,WHITESTONE,03 THREE FAMILY DWELLINGS,9,"365,000","1,809,000","1,414,000","6,000,000"
4,WOODHAVEN,01 ONE FAMILY DWELLINGS,99,"206,122","672,759","650,000","2,200,000"
4,WOODHAVEN,02 TWO FAMILY DWELLINGS,106,"430,000","880,278","879,500","1,440,000"
4,WOODHAVEN,03 THREE FAMILY DWELLINGS,17,"575,000","876,953","865,000","1,225,000"
4,WOODSIDE,01 ONE FAMILY DWELLINGS,29,"400,000","825,112","875,000","1,270,000"
4,WOODSIDE,02 TWO FAMILY DWELLINGS,32,"550,000","1,127,911","1,139,000","1,650,000"
4,WOODSIDE,03 THREE FAMILY DWELLINGS,13,"500,000","1,196,846","1,390,000","1,638,000"
